count;insertion_avg_ns;quick_avg_ns
1;63.2;105.28
2;60.22;127.16
3;74.08;174.18
4;85.54;186.68
5;110.86;226.86
6;115.18;251.98
7;134.98;280.36
8;157.94;308.34
9;185.6;348.48
10;211.36;385.08
11;242.38;423.52
12;283.06;449.7
13;309.68;492.44
14;344.2;525.8
15;380.8;545.94
16;421.6;555
17;470.02;542.18
18;517.62;636.84
19;575.76;681.8
20;619.82;659.62
21;670.8;682.72
22;742.82;747.82
23;829.86;823.66
24;884.22;797.2
25;968.12;727.12
26;1029.42;881.14
27;1112.54;802.74
28;1192.88;875.8
29;1294.62;851.38
30;1389.38;1011.4
31;1464.84;897.62
32;1568.66;971.4
33;1676.22;953.52
34;1751.58;1125.18
35;1873.66;1194.92
36;1984.62;1154.28
37;2108.78;1291.32
38;2178.2;1269.24
39;2293.96;1348.48
40;2414.86;1218.12
41;2534.6;1186.06
42;2631.84;1374.28
43;2790.14;1266.48
44;2883.22;1325.7
45;3006.34;1310.88
46;3149.66;1527.6
47;3324.5;1314.46
48;3391.46;1435.82
49;3570.48;1404.88
50;3672.64;1678.76
51;3800.92;1504.62
52;3934.44;1522.08
53;4109.46;1519.54
54;4259.5;1771.86
55;4399.56;1617.96
56;4548.3;1637.04
57;4720.34;1626.2
58;4856.36;1895.2
59;5044.96;2009.22
60;5172.48;1944.26
61;5367.22;2122.42
62;5511.9;2057.44
63;5712.7;1853.84
64;5885.38;1862.68
65;6085.9;1851.72
66;6245.86;2200.26
67;6447.42;1892.12
68;6578.44;1969.54
69;6781.62;1952.18
70;6946.92;2292.28
71;7136.46;1991.74
72;7332.4;2113.1
73;7554.36;2071.18
74;7756.26;2421.94
75;8083.58;2075.56
76;8241.92;2132.02
77;8404.18;2188.04
78;8640.36;2589.96
79;9145.06;2362.6
80;9488.94;2364.48
81;10309;2330.58
82;9930.54;2726.86
83;9640.64;2459.36
84;9941.02;2502.92
85;10120.2;2424.74
86;10327.2;2822.96
87;10577.9;3011.88
88;11043.6;2437.7
89;11280.4;2453.12
90;11317.5;2985.14
91;11535;2758.18
92;11860.6;2781.78
93;12083.3;2685.52
94;12248.1;3141.5
95;12520.1;2775.66
96;12768.3;2979.76
97;13031.5;2846.56
98;13295.8;3292.18
99;13600;2991.94
100;13832.4;2998.26
